eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
87.44086021505376,-3.0860214,79.33,-2.63,-0.15509235858917236,188,1,2.7080397605895996,8192,3.260148048400879
77.48,-2.79,86.07,-2.68,-0.10356485843658447,131,2,2.708040237426758,16384,2.5914885997772217
82.36,-2.76,81.81,-2.73,-0.1484832763671875,147,3,2.708040952682495,24576,2.7298526763916016
78.7,-2.72,83.37,-2.52,0.009674310684204102,128,4,2.708040952682495,32768,2.3631772994995117
80.72,-2.22,78.32,-2.3,-0.04948580265045166,137,5,2.708041191101074,40960,2.500014066696167
86.1,-2.39,80.82,-3.3,-0.04084134101867676,140,6,2.708040714263916,49152,2.4765543937683105
83.44,-2.88,81.06,-2.23,-0.07606935501098633,144,7,2.708041191101074,57344,2.7571895122528076
82.78,-2.56,83.24,-2.54,-0.03904259204864502,148,8,2.7080399990081787,65536,2.7600808143615723
80.22,-1.92,82.7,-2.86,-0.0655066967010498,150,9,2.7080397605895996,73728,2.3977320194244385
82.14,-2.92,82.47,-1.91,-0.10846710205078125,150,10,2.7080414295196533,81920,2.918851137161255
